[2025-10-08 21:44:34,536] [INFO] GET /secciones -> 200
[2025-10-08 21:44:36,137] [INFO] GET /comandos -> 200
[2025-10-08 21:44:40,624] [INFO] GET /descargar/respuesta_1759977780_0.jpg -> 404
[2025-10-08 21:45:02,054] [INFO] GET / -> 200
[2025-10-08 21:45:02,290] [INFO] GET /secciones -> 200
[2025-10-08 21:45:03,890] [INFO] GET /comandos -> 200
[2025-10-08 21:45:32,781] [INFO] GET /comandos -> 200
[2025-10-08 21:45:54,747] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:45:54,874] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:45:55,026] [INFO] GET /consulta -> 200
[2025-10-08 21:45:55,247] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:45:55,695] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:45:55,852] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:45:55,978] [INFO] GET /consulta -> 200
[2025-10-08 21:45:56,239] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:45:58,700] [INFO] GET /descargar/respuesta_1759977954_0.jpg -> 404
[2025-10-08 21:46:18,844] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:46:18,976] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:46:19,106] [INFO] GET /consulta -> 200
[2025-10-08 21:46:19,398] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:46:29,509] [INFO] GET /descargar/respuesta_1759977978_1.jpg -> 404
[2025-10-08 21:50:10,262] [INFO] GET / -> 200
[2025-10-08 21:50:10,507] [INFO] GET /static/style.css -> 200
[2025-10-08 21:50:10,508] [INFO] GET /static/app.js -> 200
[2025-10-08 21:50:10,848] [INFO] GET /secciones -> 200
[2025-10-08 21:50:16,251] [INFO] GET /comandos -> 200
[2025-10-08 21:50:30,980] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:50:31,101] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:50:33,521] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:50:35,890] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:50:36,017] [INFO] GET /consulta -> 200
[2025-10-08 21:50:36,230] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:50:39,871] [INFO] GET /descargar/respuesta_1759978230_0.jpg -> 404
[2025-10-08 21:50:43,575] [INFO] GET /descargar/respuesta_1759978230_0.jpg -> 404
[2025-10-08 21:51:15,438] [INFO] GET /descargar/respuesta_1759978230_0.jpg -> 404
[2025-10-08 21:51:17,047] [INFO] GET /descargar/respuesta_1759978230_0.jpg -> 404
[2025-10-08 21:51:19,199] [INFO] GET / -> 200
[2025-10-08 21:51:19,486] [INFO] GET /static/app.js -> 200
[2025-10-08 21:51:19,490] [INFO] GET /static/style.css -> 200
[2025-10-08 21:51:19,882] [INFO] GET /secciones -> 200
[2025-10-08 21:51:21,430] [INFO] GET /descargar/respuesta_1759978230_0.jpg -> 404
[2025-10-08 21:51:24,621] [INFO] GET /comandos -> 200
[2025-10-08 21:51:39,346] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:51:39,483] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:51:39,611] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:51:42,052] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:51:44,470] [INFO] GET /consulta -> 200
[2025-10-08 21:51:44,755] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:51:51,274] [INFO] GET /descargar/respuesta_1759978299_0.jpg -> 404
[2025-10-08 21:52:21,696] [INFO] GET /descargar/respuesta_1759978299_0.jpg -> 404
[2025-10-08 21:53:30,305] [INFO] GET / -> 200
[2025-10-08 21:53:30,515] [INFO] GET /static/style.css -> 200
[2025-10-08 21:53:30,520] [INFO] GET /static/logo.png -> 200
[2025-10-08 21:53:30,521] [INFO] GET /static/app.js -> 200
[2025-10-08 21:53:30,793] [INFO] GET /secciones -> 200
[2025-10-08 21:53:31,015] [INFO] GET /static/app.js -> 200
[2025-10-08 21:53:31,041] [INFO] GET /static/favicon.ico -> 404
[2025-10-08 21:53:32,703] [INFO] GET /comandos -> 200
[2025-10-08 21:53:52,960] [INFO] GET / -> 200
[2025-10-08 21:53:53,058] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:53:53,183] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:53:53,189] [INFO] GET /static/style.css -> 304
[2025-10-08 21:53:53,191] [INFO] GET /static/app.js -> 304
[2025-10-08 21:53:53,322] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:53:53,414] [INFO] GET /secciones -> 200
[2025-10-08 21:53:55,409] [INFO] GET /comandos -> 200
[2025-10-08 21:53:55,793] [INFO] GET /consulta -> 200
